Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
636,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000810-Stoke on Trent City Council,699930-693,"43,110.69"
637,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,727592-35,"42,991.73"
638,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000193-Leeds City Council,P9 Man 81,"42,934.00"
639,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000814-Heywood & Partners,699921-175,"42,758.62"
640,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),P9 Man 72,"42,648.63"
641,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,712250-26,"42,565.01"
642,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3609526,"42,540.11"
643,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000044- Manchester City Council,718715-63,"42,315.00"
644,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-185,"42,150.72"
645,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000588-Exchequer Partnership No.2 Plc,P9 Man 192,"42,082.08"
646,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-23,"41,996.87"
647,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-844,"41,984.34"
648,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000752-Salford City Council,718715-584,"41,496.00"
649,CAB,Government Property Agency,04-Dec-24,PPE - AUC Additions,PPE Additions,00000029-AECOM Limited,3220652,"41,478.31"
650,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3224591,"41,184.00"
651,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000792-DEFRA,714829-13,"41,122.92"
652,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000143-Sunstone Investments Limited,699671-170,"41,034.29"
653,CAB,Government Property Agency,31-Dec-24,Other Property Transactions Expenditure,Property Transactions,00000153-Montagu Evans (ACC 2),728828-6,"40,937.69"
654,CAB,Government Property Agency,31-Dec-24,Other Property Transactions Expenditure,Property Transactions,00000153-Montagu Evans (ACC 2),728828-3,"40,733.00"
655,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,725641-9,"40,625.42"
656,CAB,Government Property Agency,23-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000022-BNP Paribas Real Estate UK,3610431,"40,492.08"
657,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-15,"40,226.40"
658,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723577-132,"40,216.90"
659,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3195358,"39,972.73"
660,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3614518,"39,908.18"
661,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,724762-16,"39,576.06"
662,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000312-M J Mapp Ltd,P9 Man 114,"39,449.67"
663,CAB,Government Property Agency,05-Dec-24,PPE - AUC Additions,PPE Additions,00000016-Jones Lang LaSalle JLL,3222640,"39,360.00"
664,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000014-20 Cabot Square I Unit Trust,P9 Man 9,"39,298.69"
665,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723587-56,"39,250.24"
666,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,725641-99,"39,217.51"
667,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000185-The Council Of The City Of Newcastle Upon Tyne,718715-161,"39,039.00"
668,CAB,Government Property Agency,18-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000156-Tetra Tech Management Services Limited,3604603,"38,997.90"
669,CAB,Government Property Agency,31-Dec-24,Insurance Expenditure,Landlord Services,00000790-Equitix Rosebery 2022 LLP,P9 Man 239,"38,701.07"
670,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,728840-6,"38,616.97"
671,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000527-Cinos Limited,P9 Man 167,"38,573.15"
672,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-45,"38,570.00"
673,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342226,"38,400.00"
674,CAB,Government Property Agency,09-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000819-FES Support Services Ltd,3225309,"38,349.37"
675,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723588-34,"38,206.00"
676,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724246-6,"38,206.00"
677,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727616-171,"38,184.60"
678,CAB,Government Property Agency,10-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3250704,"38,110.37"
679,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,10000041-Ove Arup & Partners Ltd,3195157,"38,100.00"
680,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723588-43,"38,046.07"
681,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724246-15,"38,046.07"
682,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000025-AMAS Ltd (rent and SC - MAIN JLL account),699930-270,"37,903.45"
683,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724765-3,"37,875.01"
684,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-957,"37,843.79"
685,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-977,"37,799.79"
686,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-58,"37,727.06"
687,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-138,"37,676.54"
688,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000611-Wagstaff Bros Limited,3207100,"37,605.60"
689,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000866-Amey Community Ltd,3603053,"37,590.77"
690,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3225496,"37,588.74"
691,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-86,"37,356.00"
692,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723667-6,"37,048.16"
693,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-15,"37,048.16"
694,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-6,"37,048.16"
695,CAB,Government Property Agency,24-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3614589,"36,919.48"
696,CAB,Government Property Agency,04-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,10000069-Bridgeall Ltd,3220593,"36,840.00"
697,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000659-Sorkin Brown Limited,700197-566,"36,818.97"
698,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727646-187,"36,669.48"
699,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000257-APAM Ltd,700197-153,"36,535.31"
700,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000397-Workman LLP - Central Receipts Account No 4,728208-189,"36,517.25"
701,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000282-Darlington Borough Council,700197-171,"36,426.68"
702,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724732-151,"36,378.80"
703,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),P9 Man 107,"36,297.21"
704,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000561-Estates Management Services Ltd,700197-277,"36,068.97"
705,CAB,Government Property Agency,13-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,00000721-Planon Limited,3437304,"36,036.00"
706,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3589033,"36,003.00"
707,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000832-BrightGen Limited,3588201,"36,000.00"
708,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000751-London Borough of Hounslow,718715-569,"35,941.00"
709,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,P9 Man 259,"35,891.79"
710,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000021-Eastbrook Facilities Limited,P9 Man 279,"35,409.55"
711,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000193-Leeds City Council,718715-467,"35,217.00"
712,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342104,"35,108.20"
713,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000104-Derwent Valley Central Ltd,699921-206,"34,900.87"
714,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-203,"34,864.63"
715,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3341394,"34,768.02"
716,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000532-FCDO Services,3342078,"34,678.44"
717,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000021-Eastbrook Facilities Limited,P9 Man 280,"34,564.93"
718,CAB,Government Property Agency,02-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000619-Swift Strategies Limited,3195122,"34,170.00"
719,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-57,"33,976.00"
720,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727616-150,"33,768.79"
721,CAB,Government Property Agency,16-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3466925,"33,724.85"
722,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-217,"33,677.00"
723,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724792-151,"33,494.09"
724,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000147-ATRI7 Limited,724484-4,"33,447.85"
725,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3602348,"33,433.05"
726,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-78,"33,401.00"
727,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000840-ISS Facility Services Limited,P9 Man 260,"33,260.29"
728,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000513-Logan Construction,3224933,"33,225.88"
729,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,724543-11,"33,102.63"
730,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,724543-7,"33,102.63"
731,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,724543-15,"33,102.62"
732,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,724543-3,"33,102.62"
733,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,10000085-Gloucester City Council,718715-653,"33,033.00"
734,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000572-Leicestershire County Council,P9 Man 186,"33,000.43"
735,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000025-AMAS Ltd (rent and SC - MAIN JLL account),700197-615,"32,971.59"
736,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - Standard,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,P9 Man 177,"32,762.26"
737,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-244,"32,651.94"
738,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,10000041-Ove Arup & Partners Ltd,3587216,"32,634.76"
739,CAB,Government Property Agency,16-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3466922,"32,610.79"
740,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000802-Bruntwood Aviva 2 Limited,700197-1046,"32,586.21"
741,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-236,"32,554.47"
742,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-248,"32,414.36"
743,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,726218-39,"32,404.91"
744,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-247,"32,262.00"
745,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),P9 Man 109,"32,147.90"
746,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3207321,"32,128.33"
747,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000088-Avison Young (Client A/c re London & Continental R,699952-90,"32,094.69"
748,CAB,Government Property Agency,11-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000066-Home Office,3250833,"32,067.29"
749,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-27,"31,828.00"
750,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-24,"31,824.01"
751,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000031-Ridge,3413061,"31,698.60"
752,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3588479,"31,648.18"
753,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000326-J.P.Morgan Europe Ltd c/o Aviva Investors,699971-23,"31,238.22"
754,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-6,"31,237.93"
755,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-997,"31,044.95"
756,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-864,"31,040.48"
757,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,725641-60,"31,005.52"
758,CAB,Government Property Agency,31-Dec-24,PFI Variation Charge Expenditure,Landlord Services,00000565-AGP,724198-3,"30,944.00"
759,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-937,"30,854.76"
760,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000259-Colliers International Managing Agents,728224-13,"30,805.29"
761,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000840-ISS Facility Services Limited,3223998,"30,766.52"
762,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000469-Workman re HSBC Bank Pension Trust (UK) Limited,699930-598,"30,747.01"
763,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000044-Manchester City Council,P9 Man 22,"30,689.37"
764,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-62,"30,622.26"
765,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000119-Avison Young (GVA Grimley) - RC's & utilities,699930-10,"30,535.17"
766,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727616-180,"30,520.68"
767,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3193726,"30,450.00"
768,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000147-ATRI7 Limited,P9 Man 294,"30,416.12"
769,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000041-Ove Arup & Partners Ltd,3203208,"30,404.24"
770,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,724762-6,"30,317.58"
771,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-264,"30,262.23"
772,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342130,"30,192.22"
773,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,00000066-Home Office,3320098,"30,142.46"
774,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000006-The Crown Estate Commissioners,P9 Man 1,"29,997.12"
775,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000282-Darlington Borough Council,P9 Man 103,"29,893.20"
776,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-153,"29,751.27"
777,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3198429,"29,709.37"
778,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000710-Bellrock,699921-346,"29,624.48"
779,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-106,"29,449.94"
780,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-111,"29,415.43"
781,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000840-ISS Facility Services Limited,726539-9,"29,335.00"
782,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000312-M J Mapp Ltd,724535-3,"29,309.94"
783,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000042-Birmingham City Council,718715-277,"29,151.00"
784,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000764-London Borough of Hillingdon,718715-566,"29,149.00"
785,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3267451,"28,963.68"
786,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-118,"28,880.32"
787,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,731681-3,"28,867.78"
788,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,731690-12,"28,867.78"
789,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,00000856-WSP UK Ltd,3320092,"28,834.80"
790,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3610643,"28,800.00"
791,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727646-180,"28,788.33"
792,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000326-J.P. Morgan Europe Limited as depositary of Aviva Investors,P9 Man 121,"28,714.54"
793,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-21,"28,659.49"
794,CAB,Government Property Agency,09-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000819-FES Support Services Ltd,3225338,"28,598.69"
795,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000431-M4 Digital Group Limited,3225554,"28,560.00"
796,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-157,"28,524.36"
797,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000044- Manchester City Council,718715-262,"28,429.00"
798,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000655-TotalEnergies Gas & Power,726213-28,"28,407.23"
799,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000021-Eastbrook Facilities Limited,699671-72,"28,376.86"
800,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3193723,"28,352.63"
801,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000653-Fisher German - re Wesleyan Assurance,704876-28,"28,275.86"
802,CAB,Government Property Agency,04-Dec-24,PPE - AUC Additions,PPE Additions,10000065-Verdantix Limited,3216948,"28,200.00"
803,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000813-The City and County of Swansea,726212-3,"28,096.25"
804,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000813-The City and County of Swansea,726212-6,"28,096.25"
805,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000813-The City and County of Swansea,726212-9,"28,096.25"
806,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000587-Exchequer Partnership Plc,728300-15,"28,034.16"
807,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000587-Exchequer Partnership Plc,728300-30,"28,034.16"
808,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000587-Exchequer Partnership Plc,728300-39,"28,034.16"
809,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000587-Exchequer Partnership Plc,728300-6,"28,034.16"
810,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000840-ISS Facility Services Limited,P9 Man 258,"27,954.64"
811,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,724795-177,"27,692.90"
812,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000672-Mapeley BETA Acquisition Co (1) Ltd c/o FI Real Es,699671-869,"27,586.21"
813,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000045-Nottingham City Council,718715-515,"27,573.00"
814,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,728843-17,"27,327.57"
815,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,728843-29,"27,327.57"
816,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000104-Derwent Valley Central Ltd,728211-10,"27,315.17"
817,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725689-9,"27,292.28"
818,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3250824,"27,282.08"
819,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,726218-30,"27,113.53"
820,CAB,Government Property Agency,13-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000856-WSP UK Ltd,3402374,"27,087.00"
821,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000696-Workman LLP Client Common Receipts A/c No.4,724482-709,"26,993.09"
822,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3341347,"26,950.79"
823,CAB,Government Property Agency,10-Dec-24,PPE - AUC Additions,PPE Additions,00000279-Turner and Townsend Project Management Limited,3225637,"26,783.40"
824,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000740-Soapworks Estates Management Ltd (Service Charge A,700197-646,"26,768.15"
825,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000779-Sefton Bororugh Council,718715-482,"26,754.00"
826,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000051-Transport for London (Rent),699921-469,"26,652.97"
827,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3267382,"26,627.40"
828,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,728840-3,"26,574.58"
